customer_id,first_name,last_name,email,phone,country,city,registration_date,date_of_birth,gender
1001.0,Bruis,Myall,bmyall0@hibu.com,9990000000,Canada,TestCity_1,2022-09-23 11:10:45,2023-02-13 03:14:05,Male
1002.0,Ellene,MacSporran,emacsporran1@mapquest.com,9990000001,Canada,TestCity_2,2022-10-15 18:01:12,2023-03-28 13:09:21,Female
1003.0,Isabelita,Powlesland,ipowlesland2@chicagotribune.com,9990000002,Canada,TestCity_3,2022-06-20 03:55:09,2022-09-08 06:25:57,Female
1004.0,Elden,Tonn,etonn3@t-online.de,9990000003,Canada,TestCity_4,2023-03-08 09:56:41,2023-01-07 01:31:46,Male
1005.0,Edd,,ediviny4@list-manage.com,9990000004,Canada,TestCity_5,2022-08-14 19:04:28,2022-04-23 15:11:46,Male
1006.0,Heinrik,Bulled,hbulled5@oaic.gov.au,9990000005,Canada,TestCity_6,2022-11-26 05:31:07,2022-06-02 11:30:28,Male
1007.0,Greggory,Ellick,gellick6@bandcamp.com,9990000006,Canada,TestCity_7,2022-05-10 08:45:30,2022-08-09 08:28:35,Male
1008.0,Nolan,Dundridge,ndundridge7@sohu.com,9990000007,Canada,TestCity_8,2023-04-14 07:37:43,2023-04-06 16:18:45,Male
1009.0,,Standfield,tstandfield8@youtu.be,9990000008,Canada,TestCity_9,2022-11-15 20:47:58,2022-06-05 23:04:35,Female
1010.0,Rozella,Hebdon,rhebdon9@sun.com,9990000009,Canada,TestCity_10,2022-08-23 08:29:47,2023-02-13 08:06:10,Female
1011.0,Reinwald,Bronot,rbronota@mayoclinic.com,8131221909.0,United States,Zephyrhills,2022-08-13 13:37:14,2022-05-27 06:57:24,Male
1012.0,Lesley,Dowdall,ldowdallb@java.com,7146669804.0,United States,Newport Beach,2022-12-11 02:26:39,2022-09-26 06:06:33,Male
1013.0,Darcey,Febvre,dfebvrec@ed.gov,5705101497.0,United States,Wilkes Barre,2022-05-02 12:20:09,2022-09-07 03:24:46,Female
1014.0,Petronia,Walstow,pwalstowd@epa.gov,2105167261.0,United States,San Antonio,2022-09-27 22:51:35,2022-08-15 09:05:42,Female
1015.0,Georgia,Ewan,gewane@cpanel.net,4108947729.0,United States,Baltimore,2022-07-18 22:14:16,2022-11-15 18:47:46,Female
1016.0,Haven,Dowsey,hdowseyf@deviantart.com,9151612265.0,United States,El Paso,2022-10-13 04:20:04,2023-02-26 13:12:51,Male
1017.0,Belicia,Reven,breveng@weebly.com,7191334356.0,United States,Colorado Springs,2022-11-14 10:41:24,2022-09-13 15:33:01,Female
1018.0,Hughie,Monini,hmoninih@mail.ru,9372078108.0,United States,Dayton,2022-12-01 20:42:34,2022-04-21 12:27:14,Male
1019.0,Filia,,fyitzhakovi@bbb.org,2031170676.0,United States,,2022-05-16 19:37:41,2022-09-11 16:37:54,Female
1020.0,,Furmagier,sfurmagierj@marketwatch.com,9712578616.0,,Portland,2022-04-27 04:34:29,2023-03-19 13:41:31,Female
1021.0,Zarah,Ware,,9189909576.0,United States,Tulsa,2022-06-29 05:37:57,2022-04-26 23:28:35,Female
